"","site","chamber","date","pwsw","temp","cond","salinity","ph","station","ALKA","CL","DOC","LCOND","LPH","NH4","NOX","Salinity","SO4","TDN","TN","trt","mean.salinity","srp.um.l","tdp.um.l","srp.ppb","tdp.ppb"
"85","BW",12,2014-11-20,"SW",25.76,9.439,5.29,NA,"BW-S-12",179,2969,83.3,NA,7.85,0.052,NA,NA,128,2.57,NA,"treatment",5.29,0.475,0.477,14.71,14.77
"86","BW",12,2014-12-17,"PW",27.386,18.952,12.488,6.62,"BW-P-12",276,7202,80.7,NA,7.32,1.467,NA,NA,624,3.75,NA,"treatment",11.96,1.884,2.685,58.35,83.15
"87","BW",12,2014-12-17,"SW",19.74,11.04,6.24,NA,"BW-S-12",200,3759,95.9,NA,7.95,0.171,NA,NA,185,3.03,NA,"treatment",6.24,0.414,0.712,12.82,22.05
"88","BW",12,2015-01-14,"PW",29.78,22.608,13.566,6.676,"BW-P-12",285,7188,90.9,NA,7.53,1.545,NA,NA,713,3.38,NA,"treatment",13.47,1.675,2.462,51.87,76.25
"89","BW",12,2015-01-14,"SW",26.79,12.52,7.15,NA,"BW-S-12",204,3983,100,NA,7.72,0.161,0.005,NA,223,2.9,NA,"treatment",7.15,0.421,0.728,13.04,22.55
"90","BW",12,2015-01-14,"SW",26.79,12.52,7.15,NA,"BW-S-12",204,3983,100,NA,7.72,0.161,0.005,NA,223,2.9,NA,"treatment",7.15,0.406,0.656,12.57,20.32
"91","BW",12,2015-02-11,"PW",27.612,23.99,14.508,6.744,"BW-P-12",294,8378,73.7,NA,7.39,1.443,NA,NA,154,3.55,NA,"treatment",15.28,2.119,2.819,65.63,87.3
"92","BW",12,2015-02-11,"SW",25.6,22.45,13.57,NA,"BW-S-12",272,8103,148,NA,7.96,0.445,NA,NA,812,4.32,NA,"treatment",13.57,0.369,0.736,11.43,22.79
"93","BW",12,2015-03-18,"PW",28.466,27.924,17.122,6.788,"BW-P-12",262,10067,78,NA,7.92,1.739,NA,NA,1186,3.88,NA,"treatment",NA,NA,NA,40.82,59.09
"94","BW",12,2015-04-15,"PW",30.0766666666667,29.385,18.06,6.88,"BW-P-12",255.41,10171.72,81.84,NA,7.43,NA,NA,NA,1121.684,4.221,NA,"treatment",NA,NA,NA,53.64,84.98
"95","BW",13,2014-10-22,"PW",25.446,18.322,9.072,6.686,"BW-P-13",359,6550,123,NA,7.21,1.593,0.005,NA,504,4.56,NA,"treatment",10.52,1.311,3.325,40.6,102.98
"96","BW",13,2014-11-20,"PW",25.078,17.472,10.304,6.734,"BW-P-13",267,6611,172,NA,7.6,0.908,NA,NA,666,3.56,NA,"treatment",12.24,1.253,2.06,38.81,63.8
"97","BW",13,2014-11-20,"SW",24.77,9.089,5.08,NA,"BW-S-13",180,2764,83.6,NA,7.86,0.051,NA,NA,104,2.52,NA,"treatment",5.08,0.379,0.586,11.74,18.15
"98","BW",13,2014-12-17,"PW",28.25,16.202,9.468,6.688,"BW-P-13",269,8577,105,NA,7.5,0.825,NA,NA,792,4.43,NA,"treatment",10.86,1.121,2.067,34.72,64.01
"99","BW",13,2014-12-17,"SW",20.22,11.22,6.4,NA,"BW-S-13",207,3934,95.9,NA,7.9,0.113,NA,NA,190,2.92,NA,"treatment",6.4,0.378,0.686,11.71,21.25
"100","BW",13,2015-01-14,"PW",29.288,20.25,12.076,6.678,"BW-P-13",310,7809,111,NA,7.82,1.174,NA,NA,791,3.03,NA,"treatment",13.57,1.246,1.673,38.59,51.81
"101","BW",13,2015-02-11,"PW",25.1175,20.5025,12.2775,6.675,"BW-P-13",270,8050,84,NA,7.65,1.326,NA,NA,119,3.86,NA,"treatment",14.48,1.389,1.986,43.02,61.51
"102","BW",13,2015-03-18,"PW",25.828,23.82,14.504,6.678,"BW-P-13",228,8917,85,NA,7.9,1.29,NA,NA,991,3.57,NA,"treatment",NA,NA,NA,42.24,59.09
"103","BW",13,2015-04-15,"PW",32.38,26.72,16.2325,6.67,"BW-P-13",179.6,8929.837,94.06,NA,7.75,NA,NA,NA,955.829,3.766,NA,"treatment",NA,NA,NA,37.5,73.52
"104","BW",14,2014-10-22,"PW",26.584,19.876,11.822,6.696,"BW-P-14",453,6829,120,NA,7.24,2.704,0.005,NA,551,5.66,NA,"treatment",12.17,2.15,3.287,66.59,101.8
"105","BW",14,2014-11-20,"PW",24.704,20.534,12.264,6.756,"BW-P-14",355,6576,120,NA,7.47,2.56,NA,NA,633,5.32,NA,"treatment",12.35,3.997,5.556,123.79,172.07
"106","BW",14,2014-11-20,"SW",24.08,9.233,5.18,NA,"BW-S-14",172,2724,82.3,NA,7.72,0.065,NA,NA,109,2.51,NA,"treatment",5.18,0.417,0.609,12.91,18.86
"107","BW",14,2014-12-17,"PW",28.18,20.304,12.08,6.598,"BW-P-14",360,8160,106,NA,7.46,1.87,NA,NA,784,4.16,NA,"treatment",11.92,2.43,2.7,75.26,83.62
"108","BW",14,2014-12-17,"SW",19.43,11.03,6.29,NA,"BW-S-14",193,3727,95.5,NA,8,0.144,NA,NA,175,3.02,NA,"treatment",6.29,0.182,0.41,5.64,12.7
"109","BW",14,2015-01-14,"PW",28.098,21.63,12.956,6.602,"BW-P-14",306,7431,98.6,NA,7.72,1.636,NA,NA,737,3.43,NA,"treatment",13.61,2.182,2.633,67.58,81.54
"110","BW",14,2015-01-14,"SW",30.78,13.23,7.56,NA,"BW-S-14",205,4345,99.2,NA,7.77,0.141,0.005,NA,266,2.89,NA,"treatment",7.56,0.469,0.771,14.52,23.88
"111","BW",14,2015-02-11,"PW",26.236,21.94,13.1758,6.75,"BW-P-14",332,7780,92.9,NA,7.38,1.693,NA,NA,704,3.98,NA,"treatment",14.07,1.511,2.521,46.8,78.08
"112","BW",14,2015-03-18,"PW",26.126,26.364,16.126,6.712,"BW-P-14",320,9590,86.8,NA,7.96,2.136,NA,NA,1041,4.15,NA,"treatment",NA,NA,NA,60.76,85.45
"113","BW",14,2015-04-15,"PW",31.9783333333333,27.3116666666667,16.6266666666667,6.862,"BW-P-14",263.7,9999.523,84.04,NA,7.56,NA,NA,NA,1073.554,4.195,NA,"treatment",NA,NA,NA,27.78,62.4
"114","BW",15,2014-10-22,"PW",25.038,16.08,9.408,6.736,"BW-P-15",243,4898,108,NA,7.19,0.939,0.006,NA,382,3.5,NA,"treatment",9.45,0.181,1.152,5.61,35.68
"115","BW",15,2014-11-20,"PW",23.652,15.67,9.276,6.754,"BW-P-15",188,4977,96.9,NA,7.06,0.338,NA,NA,473,2.86,NA,"treatment",8.35,0.239,1.004,7.4,31.09
"116","BW",15,2014-11-20,"SW",24.83,9.369,5.25,NA,"BW-S-15",182,2755,88.1,NA,7.95,0.097,NA,NA,102,2.66,NA,"treatment",5.25,0.531,0.621,16.45,19.23
"117","BW",15,2014-12-17,"PW",29.95,16.786,9.798,6.644,"BW-P-15",213,7016,81.5,NA,7.4,0.524,NA,NA,572,2.93,NA,"treatment",9.6,0.355,1.033,10.99,31.99
"118","BW",15,2014-12-17,"SW",19.92,11.13,6.34,NA,"BW-S-15",190,3650,96.9,NA,8.07,0.204,NA,NA,177,3.04,NA,"treatment",6.34,0.353,0.561,10.93,17.37
"119","BW",15,2015-01-14,"PW",28.342,19.658,11.672,6.526,"BW-P-15",254,6607,88.5,NA,7.57,0.826,NA,NA,703,2.7,NA,"treatment",12.81,1.137,1.428,35.21,44.23
"120","BW",15,2015-02-11,"PW",25.002,19.326,11.888,6.656,"BW-P-15",258,6765,81.4,NA,7.44,0.956,NA,NA,646,3.28,NA,"treatment",12.37,0.982,1.338,30.41,41.44
"121","BW",15,2015-03-18,"PW",29.6,20.932,12.466,6.8,"BW-P-15",209,7178,99.6,NA,7.97,1.234,NA,NA,815,4.3,NA,"treatment",NA,NA,NA,28.74,54.41
"122","BW",15,2015-04-15,"PW",33.89,22.18,13.225,7.374,"BW-P-15",NA,NA,108.4,NA,NA,NA,NA,NA,NA,4.822,NA,"treatment",NA,NA,NA,46.3,51.1
"123","BW",16,2014-10-22,"PW",25.28,20.442,12.218,6.762,"BW-P-16",426,6910,129,NA,7.26,2.662,0.005,NA,586,5.76,NA,"treatment",12.99,0.669,2.848,20.72,88.2
"124","BW",16,2014-11-20,"PW",22.558,21.658,12.962,6.726,"BW-P-16",377,7963,99.9,NA,7.55,1.921,NA,NA,923,4.5,NA,"treatment",13.72,1.895,2.648,58.69,82.01
"125","BW",16,2014-11-20,"SW",24.84,9.091,5.085,NA,"BW-S-16",172,2763,82.5,NA,8.01,0.053,NA,NA,107,2.56,NA,"treatment",5.07,0.449,0.597,13.91,18.49
"126","BW",16,2014-11-20,"SW",24.84,9.091,5.085,NA,"BW-S-16",172,2763,82.5,NA,8.01,0.053,NA,NA,107,2.56,NA,"treatment",5.1,0.381,0.544,11.8,16.85
